#K o[k] d[k] q[k] b[k] f[k] p[k] tmax[k] s[k] penalty[k]
174 3 15 34 20 50 9968 18 1 200
175 4 13 28 20 50 9976 26 0 30
176 1 13 35 20 50 9976 26 0 30
177 4 14 20 20 50 9979 29 1 30
178 3 12 14 20 50 9979 29 0 30
179 2 15 30 20 50 9979 29 0 30
180 5 15 28 20 50 9979 29 0 30
181 4 12 11 20 50 9978 28 0 30
182 1 12 4 20 50 9978 28 0 30
183 3 12 3 20 50 9977 27 0 30
184 1 16 15 20 50 9976 26 1 30
185 2 14 4 20 50 9976 26 0 30
186 5 14 19 20 50 9977 27 0 30
187 3 12 9 20 50 9979 29 0 30
188 3 16 19 20 50 9972 22 0 200
189 3 16 35 20 50 9969 19 0 200
190 5 15 7 20 50 9979 29 0 30
191 4 14 27 20 50 9967 17 0 200
192 3 12 20 20 50 9978 28 0 30
193 2 14 15 20 50 9970 20 0 200
194 5 15 22 20 50 9978 28 1 30
195 4 13 19 20 50 9977 27 0 30
196 3 16 35 20 50 9977 27 0 30
197 4 12 35 20 50 9979 29 0 30
198 2 16 20 20 50 9978 28 0 30
199 2 15 8 20 50 9966 16 0 200
200 4 13 9 20 50 9978 28 0 30
201 1 16 31 20 50 9976 26 0 30
202 3 13 19 20 50 9977 27 0 30
203 3 14 34 20 50 9980 30 0 30
204 2 14 16 20 50 9978 28 1 30
205 5 14 4 20 50 9980 30 0 30
206 2 13 18 20 50 9980 30 0 30
207 5 13 33 20 50 9978 28 0 30
208 3 12 3 20 50 9971 21 0 200
209 5 14 20 20 50 9976 26 0 30
210 5 14 5 20 50 9977 27 0 30
211 3 14 23 20 50 9971 21 0 200
212 1 15 22 20 50 9976 26 0 30
213 5 14 31 20 50 9977 27 0 30
214 1 15 20 20 50 9966 16 0 200
215 1 13 33 20 50 9979 29 0 30
216 1 12 39 20 50 9979 29 1 30
217 4 15 14 20 50 9977 27 0 30
218 5 13 26 20 50 9980 30 0 30
219 4 14 22 20 50 9977 27 0 30
220 4 16 24 20 50 9977 27 1 30
221 4 16 30 20 50 9977 27 1 30
222 2 15 11 20 50 9976 26 0 30
223 3 12 20 20 50 9972 22 0 200
224 2 13 16 20 50 9966 16 0 200
225 1 16 1 20 50 9980 30 0 30
226 4 14 39 20 50 9965 15 0 200
227 3 16 33 20 50 9979 29 1 30
228 5 14 22 20 50 9976 26 0 30
229 4 12 4 20 50 9977 27 0 30
230 1 13 34 20 50 9979 29 0 30
231 2 15 16 20 50 9967 17 0 200
232 2 13 35 20 50 9976 26 0 30
233 4 16 27 20 50 9978 28 0 30
234 2 16 39 20 50 9976 26 0 30
235 5 12 12 20 50 9980 30 0 30
236 5 12 16 20 50 9977 27 0 30
237 4 15 5 20 50 9976 26 0 30
238 4 15 8 20 50 9965 15 0 200
239 3 13 18 20 50 9965 15 0 200
240 3 14 16 20 50 9978 28 0 30
241 3 14 14 20 50 9980 30 1 30
242 5 16 20 20 50 9976 26 0 30
243 3 15 33 20 50 9970 20 0 200
244 3 16 11 20 50 9976 26 0 30
245 2 12 31 20 50 9978 28 0 30
246 2 12 35 20 50 9979 29 0 30
247 4 16 16 20 50 9979 29 0 30
248 5 13 16 20 50 9977 27 0 30
249 3 13 24 20 50 9980 30 0 30
250 1 16 20 20 50 9972 22 1 200
251 3 13 27 20 50 9978 28 0 30
252 3 15 14 20 50 9979 29 0 30
253 1 16 12 20 50 9977 27 1 30
254 1 15 9 20 50 9977 27 0 30
255 1 14 24 20 50 9978 28 0 30
256 4 12 7 20 50 9978 28 0 30
257 5 14 30 20 50 9978 28 0 30
258 4 14 28 20 50 9979 29 0 30
259 5 14 39 20 50 9976 26 1 30
260 4 12 7 20 50 9980 30 0 30
261 2 12 31 20 50 9976 26 1 30
262 4 13 18 20 50 9974 24 0 200
263 5 13 18 20 50 9976 26 0 30
264 1 16 38 20 50 9980 30 0 30
265 3 13 4 20 50 9977 27 1 30
266 3 15 28 20 50 9978 28 0 30
267 4 14 38 20 50 9976 26 0 30
268 4 12 15 20 50 9980 30 0 30
269 4 13 15 20 50 9979 29 0 30
270 2 14 31 20 50 9966 16 0 200
271 3 14 16 20 50 9979 29 0 30
272 4 13 26 20 50 9980 30 0 30
273 3 13 30 20 50 9980 30 0 30
274 2 12 15 20 50 9977 27 0 30
275 1 12 1 20 50 9976 26 0 30
276 5 12 1 20 50 9967 17 0 200
277 3 13 20 20 50 9980 30 0 30
278 3 15 18 20 50 9980 30 0 30
279 1 13 31 20 50 9979 29 0 30
280 2 16 1 20 50 9980 30 0 30
281 4 16 30 20 50 9979 29 0 30
282 1 16 38 20 50 9977 27 0 30
283 3 13 11 20 50 9980 30 0 30
284 4 13 37 20 50 9977 27 0 30
285 3 12 14 20 50 9980 30 0 30
286 3 14 24 20 50 9976 26 1 30
287 2 13 15 20 50 9980 30 1 30
288 1 12 19 20 50 9978 28 1 30
289 1 16 22 20 50 9976 26 1 30
290 3 12 7 20 50 9976 26 0 30
291 4 14 38 20 50 9976 26 0 30
292 3 13 34 20 50 9980 30 0 30
293 1 13 24 20 50 9980 30 0 30
294 4 16 20 20 50 9979 29 0 30
295 4 13 1 20 50 9967 17 0 200
296 5 16 34 20 50 9978 28 0 30
297 5 16 27 20 50 9978 28 0 30
298 2 15 26 20 50 9976 26 0 30
299 3 13 27 20 50 9977 27 0 30
300 3 15 3 20 50 9977 27 0 30
301 4 13 24 20 50 9969 19 0 200
302 5 12 35 20 50 9980 30 0 30
303 4 14 30 20 50 9971 21 1 200
304 2 15 7 20 50 9974 24 0 200
305 2 15 23 20 50 9980 30 1 30
306 2 14 4 20 50 9977 27 0 30
307 5 14 14 20 50 9980 30 0 30
308 5 14 9 20 50 9977 27 1 30
309 3 16 14 20 50 9979 29 0 30
310 5 14 20 20 50 9973 23 0 200
311 4 15 9 20 50 9969 19 0 200
312 1 12 39 20 50 9977 27 0 30
313 3 13 37 20 50 9979 29 0 30
314 2 12 33 20 50 9980 30 0 30
315 5 14 34 20 50 9980 30 1 30
316 1 16 39 20 50 9969 19 0 200
317 4 13 34 20 50 9966 16 0 200
318 2 14 30 20 50 9973 23 0 200
319 2 12 35 20 50 9978 28 0 30
320 1 15 24 20 50 9978 28 0 30
321 3 14 30 20 50 9965 15 0 200
322 3 14 1 20 50 9970 20 0 200
323 2 16 26 20 50 9978 28 0 30
324 5 13 37 20 50 9979 29 0 30
325 1 15 16 20 50 9978 28 0 30
326 2 14 9 20 50 9978 28 0 30
327 2 12 38 20 50 9976 26 0 30
328 3 15 12 20 50 9977 27 0 30
329 1 13 20 20 50 9972 22 0 200
330 3 16 16 20 50 9978 28 0 30
331 3 13 15 20 50 9969 19 1 200
332 3 14 37 20 50 9969 19 1 200
333 4 16 24 20 50 9969 19 0 200
334 3 13 15 20 50 9978 28 1 30
335 2 13 8 20 50 9980 30 1 30
336 5 12 35 20 50 9978 28 1 30
337 3 12 16 20 50 9976 26 0 30
338 3 16 12 20 50 9980 30 0 30
339 2 16 35 20 50 9973 23 0 200
340 5 13 35 20 50 9977 27 0 30
341 4 15 26 20 50 9978 28 0 30
342 3 12 5 20 50 9976 26 0 30
343 5 16 31 20 50 9976 26 0 30
344 5 15 33 20 50 9968 18 0 200
345 3 16 30 20 50 9980 30 0 30
346 5 14 22 20 50 9977 27 0 30
347 4 14 38 20 50 9976 26 0 30
348 1 12 16 20 50 9979 29 0 30
349 3 13 31 20 50 9977 27 0 30
350 1 12 9 20 50 9979 29 0 30
351 4 14 30 20 50 9976 26 0 30
352 1 15 31 20 50 9974 24 1 200
353 5 14 16 20 50 9979 29 0 30
354 2 13 38 20 50 9980 30 0 30
355 1 13 14 20 50 9972 22 0 200
356 4 12 20 20 50 9978 28 0 30
357 5 16 26 20 50 9979 29 0 30
358 5 13 7 20 50 9978 28 0 30
359 3 12 7 20 50 9968 18 0 200
360 3 13 35 20 50 9979 29 0 30
361 1 15 37 20 50 9979 29 1 30
362 5 13 8 20 50 9977 27 0 30
363 1 12 4 20 50 9977 27 0 30
364 3 14 12 20 50 9978 28 0 30
365 2 14 24 20 50 9978 28 0 30
366 1 13 15 20 50 9966 16 1 200
367 5 13 11 20 50 9980 30 0 30
368 5 13 38 20 50 9976 26 1 30
369 5 15 27 20 50 9976 26 0 30
370 1 14 20 20 50 9980 30 0 30
371 4 13 8 20 50 9977 27 1 30
372 5 13 22 20 50 9980 30 0 30
373 1 15 19 20 50 9979 29 0 30
374 3 16 39 20 50 9977 27 0 30
375 5 16 19 20 50 9969 19 1 200
376 2 14 20 20 50 9979 29 0 30
377 5 14 19 20 50 9972 22 1 200
378 2 12 39 20 50 9979 29 0 30
379 3 14 38 20 50 9979 29 0 30
380 5 12 22 20 50 9976 26 1 30
381 5 13 38 20 50 9969 19 1 200
382 5 16 18 20 50 9973 23 0 200
383 4 16 31 20 50 9969 19 0 200
384 3 12 26 20 50 9979 29 0 30
385 5 15 3 20 50 9976 26 1 30
386 5 14 11 20 50 9980 30 1 30
387 5 16 19 20 50 9979 29 0 30
388 2 13 16 20 50 9977 27 0 30
389 3 12 8 20 50 9965 15 0 200
390 2 12 19 20 50 9977 27 0 30
391 1 14 35 20 50 9978 28 0 30
392 3 13 15 20 50 9980 30 0 30
393 1 15 5 20 50 9978 28 0 30
394 2 14 20 20 50 9977 27 0 30
395 5 12 28 20 50 9965 15 0 200
396 3 14 37 20 50 9966 16 0 200
397 5 12 38 20 50 9976 26 0 30
398 5 12 34 20 50 9976 26 0 30
399 2 16 34 20 50 9980 30 0 30
400 3 16 28 20 50 9970 20 1 200
401 1 16 39 20 50 9977 27 0 30
402 2 13 38 20 50 9976 26 0 30
403 2 14 31 20 50 9979 29 0 30
404 1 12 28 20 50 9978 28 0 30
405 2 14 5 20 50 9972 22 0 200
406 5 13 31 20 50 9980 30 0 30
407 4 15 35 20 50 9980 30 0 30
408 2 13 20 20 50 9979 29 0 30
409 2 14 39 20 50 9980 30 0 30
410 1 13 31 20 50 9978 28 0 30
411 4 16 27 20 50 9976 26 0 30
412 1 15 27 20 50 9979 29 0 30
413 1 14 28 20 50 9978 28 0 30
414 5 16 1 20 50 9977 27 1 30
415 1 12 9 20 50 9976 26 0 30
416 1 13 7 20 50 9976 26 0 30
417 5 12 26 20 50 9977 27 1 30
418 1 13 28 20 50 9977 27 0 30
419 1 14 38 20 50 9978 28 1 30
420 4 16 26 20 50 9976 26 0 30
421 2 15 22 20 50 9979 29 1 30
422 1 14 22 20 50 9972 22 0 200
423 4 15 26 20 50 9979 29 0 30
424 4 13 38 20 50 9977 27 0 30
425 3 12 27 20 50 9980 30 1 30
426 4 15 19 20 50 9966 16 0 200
427 5 16 33 20 50 9977 27 0 30
428 4 15 7 20 50 9976 26 0 30
429 1 12 11 20 50 9977 27 0 30
430 1 12 26 20 50 9980 30 0 30
431 1 13 39 20 50 9977 27 0 30
432 1 16 38 20 50 9966 16 0 200
433 4 14 11 20 50 9976 26 0 30
434 3 14 12 20 50 9980 30 0 30
435 4 12 5 20 50 9977 27 0 30
436 3 15 38 20 50 9976 26 0 30
437 3 13 18 20 50 9966 16 0 200
438 2 14 5 20 50 9978 28 0 30
439 5 15 26 20 50 9976 26 1 30
440 1 13 11 20 50 9978 28 0 30
441 4 15 31 20 50 9978 28 0 30
442 3 15 16 20 50 9977 27 0 30
443 1 12 24 20 50 9976 26 1 30
444 2 14 1 20 50 9980 30 0 30
445 3 14 5 20 50 9970 20 1 200
446 3 15 22 20 50 9973 23 1 200
447 5 14 28 20 50 9972 22 0 200
448 1 15 23 20 50 9978 28 0 30
449 1 15 18 20 50 9967 17 1 200
450 1 16 38 20 50 9977 27 0 30
451 1 15 23 20 50 9976 26 0 30
452 3 13 19 20 50 9978 28 0 30
453 2 14 27 20 50 9976 26 1 30
454 1 12 18 20 50 9977 27 0 30
455 5 15 38 20 50 9976 26 0 30
456 2 15 23 20 50 9979 29 0 30
457 3 15 20 20 50 9965 15 0 200
458 3 13 28 20 50 9978 28 0 30
459 5 16 28 20 50 9968 18 0 200
460 1 14 3 20 50 9977 27 0 30
461 2 16 22 20 50 9977 27 0 30
462 3 15 22 20 50 9979 29 1 30
463 3 12 27 20 50 9979 29 1 30
464 1 14 39 20 50 9972 22 0 200
465 5 14 4 20 50 9980 30 1 30
466 4 14 26 20 50 9978 28 0 30
467 2 16 22 20 50 9979 29 0 30
468 5 12 37 20 50 9977 27 0 30
469 5 14 24 20 50 9980 30 1 30
470 5 13 28 20 50 9976 26 0 30
471 5 12 1 20 50 9971 21 0 200
472 1 16 28 20 50 9976 26 0 30
473 1 15 28 20 50 9977 27 0 30
474 3 15 22 20 50 9979 29 0 30
475 1 16 18 20 50 9971 21 0 200
476 1 15 16 20 50 9978 28 0 30
477 1 16 14 20 50 9980 30 0 30
478 1 12 5 20 50 9980 30 0 30
479 2 16 34 20 50 9969 19 0 200
480 3 13 23 20 50 9980 30 0 30
481 3 14 14 20 50 9972 22 0 200
482 2 13 30 20 50 9977 27 0 30
483 3 16 12 20 50 9979 29 0 30
484 1 14 8 20 50 9974 24 0 200
485 1 16 8 20 50 9978 28 0 30
486 5 16 35 20 50 9977 27 0 30
487 5 13 39 20 50 9976 26 0 30
488 3 12 11 20 50 9979 29 0 30
489 3 13 16 20 50 9974 24 1 200
490 5 15 8 20 50 9977 27 0 30
491 4 13 14 20 50 9970 20 0 200
492 1 14 9 20 50 9973 23 0 200
493 3 13 22 20 50 9980 30 0 30
494 3 16 23 20 50 9979 29 0 30
495 4 16 39 20 50 9977 27 0 30
496 3 13 23 20 50 9979 29 0 30
497 1 15 30 20 50 9965 15 0 200
498 2 15 7 20 50 9977 27 0 30
499 4 15 24 20 50 9978 28 0 30
500 4 13 11 20 50 9974 24 1 200
501 5 12 4 20 50 9978 28 0 30
502 1 16 39 20 50 9980 30 0 30
503 5 15 9 20 50 9976 26 1 30
504 1 14 16 20 50 9980 30 0 30
505 2 12 18 20 50 9980 30 0 30
506 2 16 12 20 50 9977 27 0 30
507 5 15 15 20 50 9974 24 0 200
508 1 16 1 20 50 9978 28 0 30
509 5 12 33 20 50 9977 27 0 30
510 2 15 38 20 50 9978 28 1 30
511 1 14 4 20 50 9977 27 0 30
512 2 16 5 20 50 9979 29 0 30
513 1 13 1 20 50 9977 27 0 30
514 1 14 4 20 50 9978 28 0 30
515 4 16 35 20 50 9978 28 0 30
516 2 16 12 20 50 9976 26 0 30
517 2 14 19 20 50 9969 19 0 200
518 5 12 19 20 50 9969 19 0 200
519 4 13 1 20 50 9967 17 0 200
520 2 12 20 20 50 9980 30 0 30
521 1 12 27 20 50 9976 26 0 30
522 2 12 38 20 50 9980 30 0 30
523 4 14 12 20 50 9970 20 0 200
524 4 13 9 20 50 9977 27 0 30
525 5 15 7 20 50 9969 19 0 200
526 1 14 28 20 50 9976 26 0 30
527 1 14 4 20 50 9978 28 0 30
528 5 16 34 20 50 9977 27 1 30
529 2 12 19 20 50 9970 20 0 200
530 3 14 33 20 50 9978 28 0 30
531 1 15 26 20 50 9976 26 0 30
532 4 12 34 20 50 9977 27 0 30
533 3 13 26 20 50 9977 27 1 30
534 3 15 22 20 50 9976 26 0 30
535 4 13 33 20 50 9971 21 0 200
536 3 13 15 20 50 9966 16 0 200
537 2 13 23 20 50 9971 21 0 200
538 2 15 1 20 50 9976 26 0 30
539 4 15 9 20 50 9979 29 0 30
540 2 15 30 20 50 9972 22 0 200
541 5 12 35 20 50 9979 29 0 30
542 2 16 27 20 50 9979 29 0 30
543 5 14 24 20 50 9976 26 0 30
544 4 13 8 20 50 9977 27 1 30
545 3 12 18 20 50 9976 26 0 30
546 2 14 37 20 50 9978 28 0 30
547 4 15 26 20 50 9970 20 0 200
548 3 15 22 20 50 9978 28 0 30
549 4 12 27 20 50 9979 29 0 30
550 1 16 27 20 50 9974 24 0 200
551 1 12 23 20 50 9976 26 0 30
552 2 13 7 20 50 9979 29 0 30
553 2 13 37 20 50 9979 29 0 30
554 1 14 30 20 50 9977 27 0 30
555 1 13 31 20 50 9979 29 0 30
556 2 12 19 20 50 9967 17 0 200
557 2 12 24 20 50 9977 27 0 30
558 2 15 9 20 50 9978 28 0 30
559 5 13 15 20 50 9980 30 1 30
560 3 16 33 20 50 9976 26 0 30
561 1 14 14 20 50 9978 28 0 30
562 4 12 26 20 50 9978 28 0 30
563 1 16 27 20 50 9972 22 1 200
564 3 16 9 20 50 9973 23 0 200
565 5 14 30 20 50 9978 28 0 30
566 5 16 20 20 50 9978 28 0 30
567 1 12 33 20 50 9978 28 0 30
568 4 15 37 20 50 9977 27 1 30
569 2 12 39 20 50 9966 16 0 200
570 5 16 30 20 50 9973 23 1 200
571 4 13 5 20 50 9976 26 1 30
572 1 12 18 20 50 9966 16 1 200
573 3 13 1 20 50 9979 29 0 30
574 4 13 9 20 50 9968 18 0 200
575 2 12 14 20 50 9971 21 0 200
576 5 14 39 20 50 9979 29 0 30
577 4 14 18 20 50 9978 28 0 30
578 4 14 11 20 50 9978 28 1 30
579 5 16 1 20 50 9969 19 1 200
580 2 15 26 20 50 9977 27 0 30
581 3 13 31 20 50 9977 27 0 30
582 1 12 8 20 50 9970 20 1 200
583 2 16 38 20 50 9976 26 0 30
584 2 16 34 20 50 9979 29 0 30
585 2 14 14 20 50 9970 20 0 200
586 4 16 1 20 50 9979 29 1 30
587 2 15 31 20 50 9973 23 0 200
588 2 15 8 20 50 9978 28 0 30
589 3 13 3 20 50 9979 29 1 30
590 4 13 14 20 50 9976 26 0 30
591 4 13 38 20 50 9979 29 0 30
592 5 15 30 20 50 9978 28 0 30
593 1 12 7 20 50 9973 23 0 200
594 3 12 19 20 50 9978 28 0 30
595 3 15 37 20 50 9969 19 0 200
596 3 13 30 20 50 9980 30 0 30
597 1 13 15 20 50 9972 22 0 200
598 4 16 16 20 50 9980 30 0 30
599 3 12 37 20 50 9968 18 0 200
600 3 16 12 20 50 9977 27 0 30
601 1 16 26 20 50 9967 17 0 200
602 4 12 35 20 50 9978 28 1 30
603 3 13 18 20 50 9976 26 0 30
604 2 16 19 20 50 9980 30 0 30
605 2 15 24 20 50 9976 26 0 30
606 5 16 27 20 50 9978 28 1 30
607 2 14 18 20 50 9979 29 0 30
608 3 13 26 20 50 9978 28 0 30
609 2 16 34 20 50 9978 28 1 30
610 5 12 5 20 50 9976 26 0 30
611 5 14 14 20 50 9979 29 0 30
612 5 14 3 20 50 9978 28 0 30
613 5 12 16 20 50 9979 29 0 30
614 2 12 38 20 50 9972 22 0 200
615 5 13 4 20 50 9978 28 0 30
616 5 14 27 20 50 9977 27 0 30
617 3 12 16 20 50 9978 28 0 30
618 5 14 12 20 50 9980 30 0 30
619 2 13 3 20 50 9978 28 0 30
620 3 15 18 20 50 9980 30 1 30
621 4 13 8 20 50 9976 26 0 30
622 5 15 27 20 50 9977 27 0 30
623 4 13 14 20 50 9976 26 0 30
624 2 14 8 20 50 9978 28 0 30
625 4 16 1 20 50 9969 19 0 200
626 4 15 30 20 50 9978 28 0 30
627 5 15 38 20 50 9978 28 0 30
628 1 15 31 20 50 9976 26 0 30
629 3 16 35 20 50 9977 27 0 30
630 4 12 37 20 50 9970 20 0 200
631 5 12 31 20 50 9978 28 0 30
632 4 15 19 20 50 9970 20 0 200
633 1 15 20 20 50 9977 27 1 30
634 2 15 30 20 50 9976 26 0 30
635 1 15 39 20 50 9980 30 1 30
636 1 13 23 20 50 9979 29 0 30
637 2 16 9 20 50 9979 29 0 30
638 2 14 23 20 50 9979 29 0 30
639 1 16 1 20 50 9979 29 1 30
640 3 15 37 20 50 9979 29 0 30
641 4 14 33 20 50 9979 29 0 30
642 5 13 18 20 50 9977 27 0 30
643 5 13 26 20 50 9970 20 0 200
644 4 13 27 20 50 9969 19 0 200
645 3 16 8 20 50 9977 27 1 30
646 1 14 18 20 50 9976 26 0 30
647 5 14 12 20 50 9976 26 0 30
648 2 14 9 20 50 9969 19 0 200
649 1 12 14 20 50 9976 26 0 30
650 5 14 4 20 50 9970 20 0 200
651 4 13 18 20 50 9977 27 0 30
652 5 15 34 20 50 9976 26 0 30
653 2 16 8 20 50 9979 29 0 30
654 2 16 33 20 50 9979 29 1 30
655 2 15 9 20 50 9977 27 0 30
656 4 12 9 20 50 9979 29 0 30
657 2 16 12 20 50 9980 30 0 30
658 1 12 33 20 50 9980 30 0 30
659 2 13 37 20 50 9966 16 1 200
660 3 12 22 20 50 9979 29 1 30
661 2 14 16 20 50 9980 30 0 30
